sex,birth_year,marital_status,religion,job_code,income,region_code
male,1961,1,1,510.0,267.0,1
female,1962,1,1,,,1
female,1997,0,1,,,1
male,1998,0,1,,,1
male,1939,1,1,942.0,,1
female,1940,1,1,,,1
male,1945,1,2,,,1
female,1949,1,2,,,1
male,1972,1,2,873.0,185.0,1
female,1972,1,2,,,1
male,2000,0,2,,,1
female,1979,1,2,285.0,363.3,1
male,1978,1,2,510.0,411.7,1
female,2010,0,2,,,1
male,1973,1,2,254.0,266.0,1
female,1969,1,2,259.0,408.0,1
female,2007,0,1,,,1
male,2010,0,1,,,1
male,1936,1,1,,,1
female,1946,1,1,,,1
female,1977,3,1,313.0,150.0,2
female,2008,0,1,,,2
male,1947,1,1,942.0,150.0,2
female,1949,1,1,,,2
male,1973,2,1,743.0,170.0,2
male,2002,0,1,,,2
female,2004,0,1,,,2
male,1936,2,1,,,1
female,1957,3,1,722.0,162.0,1
female,1987,5,1,399.0,170.0,1
male,1991,5,1,,,1
male,1959,3,2,,,1
male,1955,1,1,251.0,70.0,1
female,1960,1,1,,,1
male,1989,5,1,753.0,270.0,3
male,1957,3,2,530.0,,1
male,1989,5,2,930.0,164.7,1
female,1934,2,2,,,1
male,1952,3,2,942.0,170.0,1
male,1960,1,2,999.0,,1
female,1960,1,2,999.0,,1
female,1988,5,1,,,1
female,1993,5,1,521.0,120.0,1
male,1972,1,1,780.0,419.16,1
female,1973,1,1,259.0,204.66,1
male,2000,0,1,,,1
female,1944,2,1,,,1
female,1971,5,1,281.0,,1
female,1976,1,2,312.0,433.3,1
male,1982,5,1,510.0,233.0,1
male,1973,1,2,235.0,800.0,1
male,1950,1,1,873.0,,1
female,1953,1,1,941.0,96.0,1
male,1982,5,1,252.0,333.0,1
female,1937,3,1,,,1
male,1934,1,1,,,1
female,1934,1,1,,,1
male,1938,2,2,,,1
female,1963,3,1,442.0,220.0,1
female,1992,5,1,,,1
female,1995,5,1,311.0,218.0,1
male,1954,2,2,,,1
female,1994,5,1,,,1
male,1997,0,1,,,1
male,1965,1,1,772.0,,1
female,1969,1,1,930.0,170.0,1
female,1992,5,1,,,1
female,1993,5,1,422.0,120.0,1
female,2000,0,1,,,1
male,1970,1,1,873.0,280.0,1
female,1971,1,1,930.0,193.0,1
female,2001,0,1,,,1
female,2003,0,1,,,1
female,1944,3,1,941.0,17.0,1
female,1950,3,1,930.0,80.4,1
male,1971,2,2,149.0,138.0,1
male,1997,0,2,,,1
male,1932,1,1,,,1
female,1936,1,1,,,1
male,1957,1,2,442.0,,1
female,1958,1,1,441.0,,1
female,1979,1,2,,,2
male,1983,5,2,442.0,,1
male,1975,1,2,246.0,311.0,2
female,2009,0,2,,,2
male,2012,0,2,,,2
male,1962,1,2,891.0,250.0,1
female,1964,1,2,721.0,98.33,1
male,1990,5,2,,,1
male,1952,1,2,442.0,,1
female,1957,1,2,442.0,,1
male,1981,5,2,246.0,506.66,1
female,1984,5,2,320.0,254.16,1
male,1952,3,2,,,1
male,1929,2,2,,,1
female,1931,2,2,,,1
female,1960,5,2,,,1
male,1936,1,2,,,1
female,1936,1,2,,,1
male,1960,5,2,,,1
male,1966,1,2,823.0,,1
female,1966,1,1,999.0,,1
female,2004,0,1,,,1
female,2004,0,1,,,1
male,1938,1,1,,,1
female,1939,1,1,,,1
male,1960,1,2,875.0,,1
female,1962,1,2,521.0,110.0,1
female,1987,5,2,320.0,318.33,1
male,1961,1,1,159.0,,1
female,1968,1,1,,,1
male,1998,0,1,,,1
female,1999,0,1,,,1
male,1964,1,1,248.0,230.0,1
female,1975,1,1,442.0,150.0,1
female,1997,0,1,,,1
male,1999,0,1,,,1
female,1942,3,1,,,1
male,1936,1,1,,,1
female,1939,1,1,,,1
female,2008,0,1,,,1
female,2011,0,1,,,1
male,1974,1,2,773.0,200.0,2
female,1981,1,2,,,2
female,2007,0,2,,,2
male,1940,1,1,,,1
female,1943,1,1,,,1
male,2000,0,1,,,1
male,1968,3,1,521.0,,1
male,1955,1,1,874.0,,1
female,1961,1,1,951.0,151.2,1
male,1993,5,1,,,1
male,1961,1,2,892.0,310.5,1
female,1961,1,1,,,1
male,1938,1,1,,,1
female,1943,1,1,,,1
male,1979,1,2,312.0,291.7,1
